created_at,team,priority,channel,product_area,resolution_hours,csat_score,reopened_flag
2025-01-01,Platform,Low,Email,Billing,1.79,4.57,yes
2025-01-02,Payments,Medium,Chat,Checkout,8.06,3.78,no
2025-01-03,Support,High,Phone,Accounts,11.25,3.55,no
2025-01-04,Infrastructure,Urgent,Portal,Reporting,15.42,2.95,yes
2025-01-05,Platform,Low,Email,Billing,10.45,3.91,no
2025-01-06,Payments,Medium,Chat,Checkout,15.78,2.76,no
2025-01-07,Support,High,Phone,Accounts,8.63,3.4,no
2025-01-08,Infrastructure,Urgent,Portal,Reporting,14.92,3.39,yes
2025-01-09,Platform,Low,Email,Billing,6.37,4.04,no
2025-01-10,Payments,Medium,Chat,Checkout,11.28,3.11,no
2025-01-11,Support,High,Phone,Accounts,16.61,2.92,no
2025-01-12,Infrastructure,Urgent,Portal,Reporting,21.42,2.44,no
2025-01-13,Platform,Low,Email,Billing,1.75,4.22,no
2025-01-14,Payments,Medium,Chat,Checkout,5.57,4.38,no
2025-01-15,Support,High,Phone,Accounts,13.55,3.49,yes
2025-01-16,Infrastructure,Urgent,Portal,Reporting,16.15,2.54,yes
2025-01-17,Platform,Low,Email,Billing,12.04,3.75,no
2025-01-18,Payments,Medium,Chat,Checkout,12.82,3.26,no
2025-01-19,Support,High,Phone,Accounts,7.01,4.08,no
2025-01-20,Infrastructure,Urgent,Portal,Reporting,14.37,2.78,no
2025-01-21,Platform,Low,Email,Billing,7.03,3.89,no
2025-01-22,Payments,Medium,Chat,Checkout,9.99,3.89,yes
2025-01-23,Support,High,Phone,Accounts,15.34,2.76,no
2025-01-24,Infrastructure,Urgent,Portal,Reporting,20.52,2.7,no
2025-01-25,Platform,Low,Email,Billing,2.5,4.13,no
2025-01-26,Payments,Medium,Chat,Checkout,9.23,3.76,no
2025-01-27,Support,High,Phone,Accounts,11.89,3.38,no
2025-01-28,Infrastructure,Urgent,Portal,Reporting,15.45,2.76,yes
2025-01-29,Platform,Low,Email,Billing,10.02,3.63,yes
2025-01-30,Payments,Medium,Chat,Checkout,13.36,2.96,no
2025-01-31,Support,High,Phone,Accounts,7.02,3.97,no
2025-02-01,Infrastructure,Urgent,Portal,Reporting,12.36,3.68,no
2025-02-02,Platform,Low,Email,Billing,8.47,3.32,no
2025-02-03,Payments,Medium,Chat,Checkout,9.89,3.71,no
2025-02-04,Support,High,Phone,Accounts,14.55,2.76,no
2025-02-05,Infrastructure,Urgent,Portal,Reporting,22.01,2.41,yes
2025-02-06,Platform,Low,Email,Billing,3.52,4.45,no
2025-02-07,Payments,Medium,Chat,Checkout,8.53,3.42,no
2025-02-08,Support,High,Phone,Accounts,10.61,3.43,no
2025-02-09,Infrastructure,Urgent,Portal,Reporting,16.59,2.86,yes
2025-02-10,Platform,Low,Email,Billing,11.48,3.56,no
2025-02-11,Payments,Medium,Chat,Checkout,16.19,2.57,no
2025-02-12,Support,High,Phone,Accounts,8.26,3.58,yes
2025-02-13,Infrastructure,Urgent,Portal,Reporting,14.73,2.85,no
2025-02-14,Platform,Low,Email,Billing,5.96,3.91,no
2025-02-15,Payments,Medium,Chat,Checkout,10.58,3.29,no
2025-02-16,Support,High,Phone,Accounts,14.69,3.46,no
2025-02-17,Infrastructure,Urgent,Portal,Reporting,20.16,2.86,no
2025-02-18,Platform,Low,Email,Billing,3.81,3.76,no
2025-02-19,Payments,Medium,Chat,Checkout,9.25,3.93,yes
2025-02-20,Support,High,Phone,Accounts,13.88,3.55,no
2025-02-21,Infrastructure,Urgent,Portal,Reporting,18.18,2.43,yes
2025-02-22,Platform,Low,Email,Billing,10.57,3.24,no
2025-02-23,Payments,Medium,Chat,Checkout,14.0,2.75,no
2025-02-24,Support,High,Phone,Accounts,8.17,4.17,no
2025-02-25,Infrastructure,Urgent,Portal,Reporting,12.49,3.56,no
2025-02-26,Platform,Low,Email,Billing,6.96,3.78,yes
2025-02-27,Payments,Medium,Chat,Checkout,12.59,3.74,no
2025-02-28,Support,High,Phone,Accounts,15.83,3.16,no
2025-03-01,Infrastructure,Urgent,Portal,Reporting,19.08,2.46,no
2025-03-02,Platform,Low,Email,Billing,5.38,4.08,no
2025-03-03,Payments,Medium,Chat,Checkout,7.53,4.02,no
2025-03-04,Support,High,Phone,Accounts,10.46,3.58,no
2025-03-05,Infrastructure,Urgent,Portal,Reporting,16.89,3.18,yes
2025-03-06,Platform,Low,Email,Billing,9.34,4.03,no
2025-03-07,Payments,Medium,Chat,Checkout,12.8,2.99,no
2025-03-08,Support,High,Phone,Accounts,8.98,3.81,no
2025-03-09,Infrastructure,Urgent,Portal,Reporting,12.38,2.97,no
2025-03-10,Platform,Low,Email,Billing,8.59,3.46,no
2025-03-11,Payments,Medium,Chat,Checkout,11.23,3.53,no
2025-03-12,Support,High,Phone,Accounts,15.32,3.09,yes
2025-03-13,Infrastructure,Urgent,Portal,Reporting,20.46,2.9,no
2025-03-14,Platform,Low,Email,Billing,2.52,4.49,no
2025-03-15,Payments,Medium,Chat,Checkout,6.4,3.82,no
2025-03-16,Support,High,Phone,Accounts,12.77,3.09,no
2025-03-17,Infrastructure,Urgent,Portal,Reporting,16.19,3.16,yes
2025-03-18,Platform,Low,Email,Billing,9.02,3.61,no
2025-03-19,Payments,Medium,Chat,Checkout,16.24,3.37,yes
2025-03-20,Support,High,Phone,Accounts,7.02,3.59,no
2025-03-21,Infrastructure,Urgent,Portal,Reporting,12.49,3.69,no
2025-03-22,Platform,Low,Email,Billing,8.55,4.04,no
2025-03-23,Payments,Medium,Chat,Checkout,10.39,3.2,no
2025-03-24,Support,High,Phone,Accounts,16.88,3.05,no
2025-03-25,Infrastructure,Urgent,Portal,Reporting,20.79,2.91,no
2025-03-26,Platform,Low,Email,Billing,4.2,3.69,yes
2025-03-27,Payments,Medium,Chat,Checkout,8.56,3.51,no
2025-03-28,Support,High,Phone,Accounts,12.74,3.67,no
2025-03-29,Infrastructure,Urgent,Portal,Reporting,15.5,2.65,yes
2025-03-30,Platform,Low,Email,Billing,9.15,3.68,no
2025-03-31,Payments,Medium,Chat,Checkout,13.52,3.29,no
2025-04-01,Support,High,Phone,Accounts,9.44,3.34,no
2025-04-02,Infrastructure,Urgent,Portal,Reporting,13.88,2.95,yes
2025-04-03,Platform,Low,Email,Billing,7.08,4.21,no
2025-04-04,Payments,Medium,Chat,Checkout,12.17,2.97,no
2025-04-05,Support,High,Phone,Accounts,15.34,2.82,no
2025-04-06,Infrastructure,Urgent,Portal,Reporting,18.51,2.94,no
2025-04-07,Platform,Low,Email,Billing,4.14,3.92,no
2025-04-08,Payments,Medium,Chat,Checkout,8.28,3.77,no
2025-04-09,Support,High,Phone,Accounts,11.85,2.92,yes
2025-04-10,Infrastructure,Urgent,Portal,Reporting,15.28,3.37,yes
2025-04-11,Platform,Low,Email,Billing,12.14,3.38,no
2025-04-12,Payments,Medium,Chat,Checkout,15.63,3.06,no
2025-04-13,Support,High,Phone,Accounts,7.31,3.48,no
2025-04-14,Infrastructure,Urgent,Portal,Reporting,12.66,3.64,no
2025-04-15,Platform,Low,Email,Billing,8.24,4.05,no
2025-04-16,Payments,Medium,Chat,Checkout,12.37,3.05,yes
2025-04-17,Support,High,Phone,Accounts,14.69,2.72,no
2025-04-18,Infrastructure,Urgent,Portal,Reporting,21.43,2.75,no
2025-04-19,Platform,Low,Email,Billing,3.27,4.33,no
2025-04-20,Payments,Medium,Chat,Checkout,6.08,4.33,no
2025-04-21,Support,High,Phone,Accounts,13.49,3.63,no
2025-04-22,Infrastructure,Urgent,Portal,Reporting,18.04,3.09,yes
2025-04-23,Platform,Low,Email,Billing,8.84,3.88,yes
2025-04-24,Payments,Medium,Chat,Checkout,13.75,3.56,no
2025-04-25,Support,High,Phone,Accounts,9.76,3.9,no
2025-04-26,Infrastructure,Urgent,Portal,Reporting,14.54,2.89,no
2025-04-27,Platform,Low,Email,Billing,8.2,3.38,no
2025-04-28,Payments,Medium,Chat,Checkout,12.27,3.65,no
2025-04-29,Support,High,Phone,Accounts,14.58,3.38,no
2025-04-30,Infrastructure,Urgent,Portal,Reporting,20.23,2.35,yes
2025-05-01,Platform,Low,Email,Billing,4.73,3.83,no
2025-05-02,Payments,Medium,Chat,Checkout,5.59,3.71,no
2025-05-03,Support,High,Phone,Accounts,11.48,3.73,no
2025-05-04,Infrastructure,Urgent,Portal,Reporting,18.63,2.49,yes
2025-05-05,Platform,Low,Email,Billing,11.16,3.34,no
2025-05-06,Payments,Medium,Chat,Checkout,16.18,2.96,no
2025-05-07,Support,High,Phone,Accounts,10.27,3.18,yes
2025-05-08,Infrastructure,Urgent,Portal,Reporting,15.14,2.75,no
2025-05-09,Platform,Low,Email,Billing,8.86,3.45,no
2025-05-10,Payments,Medium,Chat,Checkout,9.41,3.55,no
2025-05-11,Support,High,Phone,Accounts,16.48,2.73,no
2025-05-12,Infrastructure,Urgent,Portal,Reporting,20.77,2.48,no
2025-05-13,Platform,Low,Email,Billing,3.19,4.3,no
2025-05-14,Payments,Medium,Chat,Checkout,6.46,4.09,yes
2025-05-15,Support,High,Phone,Accounts,10.26,3.91,no
2025-05-16,Infrastructure,Urgent,Portal,Reporting,17.02,3.05,yes
2025-05-17,Platform,Low,Email,Billing,11.53,3.55,no
2025-05-18,Payments,Medium,Chat,Checkout,13.87,2.78,no
2025-05-19,Support,High,Phone,Accounts,9.24,3.47,no
2025-05-20,Infrastructure,Urgent,Portal,Reporting,12.68,3.6,no
2025-05-21,Platform,Low,Email,Billing,7.95,3.58,yes
2025-05-22,Payments,Medium,Chat,Checkout,10.16,3.45,no
2025-05-23,Support,High,Phone,Accounts,15.26,2.84,no
2025-05-24,Infrastructure,Urgent,Portal,Reporting,18.98,2.58,no
2025-05-25,Platform,Low,Email,Billing,5.28,4.18,no
2025-05-26,Payments,Medium,Chat,Checkout,8.89,3.76,no
2025-05-27,Support,High,Phone,Accounts,11.38,3.46,no
2025-05-28,Infrastructure,Urgent,Portal,Reporting,15.0,2.86,yes
2025-05-29,Platform,Low,Email,Billing,10.36,3.59,no
2025-05-30,Payments,Medium,Chat,Checkout,14.96,3.02,no
2025-05-31,Support,High,Phone,Accounts,8.41,3.45,no
2025-06-01,Infrastructure,Urgent,Portal,Reporting,13.27,3.58,no
2025-06-02,Platform,Low,Email,Billing,8.24,3.43,no
2025-06-03,Payments,Medium,Chat,Checkout,9.32,3.63,no
2025-06-04,Support,High,Phone,Accounts,16.12,2.79,yes
2025-06-05,Infrastructure,Urgent,Portal,Reporting,21.57,2.62,no
2025-06-06,Platform,Low,Email,Billing,4.27,3.88,no
2025-06-07,Payments,Medium,Chat,Checkout,6.25,3.5,no
2025-06-08,Support,High,Phone,Accounts,11.17,3.41,no
2025-06-09,Infrastructure,Urgent,Portal,Reporting,18.19,2.35,yes
2025-06-10,Platform,Low,Email,Billing,10.3,3.64,no
2025-06-11,Payments,Medium,Chat,Checkout,13.23,3.4,yes
2025-06-12,Support,High,Phone,Accounts,8.6,3.46,no
2025-06-13,Infrastructure,Urgent,Portal,Reporting,13.96,2.71,no
2025-06-14,Platform,Low,Email,Billing,8.07,3.99,no
2025-06-15,Payments,Medium,Chat,Checkout,9.4,3.54,no
2025-06-16,Support,High,Phone,Accounts,14.41,3.52,no
2025-06-17,Infrastructure,Urgent,Portal,Reporting,20.44,2.1,no
2025-06-18,Platform,Low,Email,Billing,2.68,4.6,yes
2025-06-19,Payments,Medium,Chat,Checkout,7.21,4.1,no
2025-06-20,Support,High,Phone,Accounts,12.75,3.71,no
2025-06-21,Infrastructure,Urgent,Portal,Reporting,17.23,3.23,yes
2025-06-22,Platform,Low,Email,Billing,12.09,3.44,no
2025-06-23,Payments,Medium,Chat,Checkout,15.2,3.03,no
2025-06-24,Support,High,Phone,Accounts,9.86,3.61,no
2025-06-25,Infrastructure,Urgent,Portal,Reporting,14.86,3.28,yes
2025-06-26,Platform,Low,Email,Billing,7.03,3.63,no
2025-06-27,Payments,Medium,Chat,Checkout,9.93,3.68,no
2025-06-28,Support,High,Phone,Accounts,16.62,2.91,no
2025-06-29,Infrastructure,Urgent,Portal,Reporting,20.85,2.26,no
2025-06-30,Platform,Low,Email,Billing,2.04,4.15,no
2025-07-01,Payments,Medium,Chat,Checkout,6.52,3.74,no
2025-07-02,Support,High,Phone,Accounts,12.28,3.0,yes
2025-07-03,Infrastructure,Urgent,Portal,Reporting,15.87,3.14,yes
2025-07-04,Platform,Low,Email,Billing,11.4,3.02,no
2025-07-05,Payments,Medium,Chat,Checkout,14.03,3.19,no
2025-07-06,Support,High,Phone,Accounts,8.31,3.46,no
2025-07-07,Infrastructure,Urgent,Portal,Reporting,13.08,3.61,no
2025-07-08,Platform,Low,Email,Billing,7.44,3.98,no
2025-07-09,Payments,Medium,Chat,Checkout,12.21,3.57,yes
2025-07-10,Support,High,Phone,Accounts,15.18,2.59,no
2025-07-11,Infrastructure,Urgent,Portal,Reporting,19.82,2.8,no
2025-07-12,Platform,Low,Email,Billing,4.95,4.46,no
2025-07-13,Payments,Medium,Chat,Checkout,7.07,4.07,no
2025-07-14,Support,High,Phone,Accounts,12.3,3.41,no
2025-07-15,Infrastructure,Urgent,Portal,Reporting,15.83,2.71,yes
2025-07-16,Platform,Low,Email,Billing,10.38,3.09,yes
2025-07-17,Payments,Medium,Chat,Checkout,13.76,3.34,no
2025-07-18,Support,High,Phone,Accounts,8.27,3.42,no
2025-07-19,Infrastructure,Urgent,Portal,Reporting,13.25,2.89,no
2025-07-20,Platform,Low,Email,Billing,7.58,3.37,no
2025-07-21,Payments,Medium,Chat,Checkout,10.48,3.56,no
2025-07-22,Support,High,Phone,Accounts,13.85,3.29,no
2025-07-23,Infrastructure,Urgent,Portal,Reporting,19.01,2.61,yes
2025-07-24,Platform,Low,Email,Billing,1.94,4.25,no
2025-07-25,Payments,Medium,Chat,Checkout,6.29,3.77,no
2025-07-26,Support,High,Phone,Accounts,13.1,3.13,no
2025-07-27,Infrastructure,Urgent,Portal,Reporting,17.82,3.07,yes
2025-07-28,Platform,Low,Email,Billing,9.7,3.2,no
2025-07-29,Payments,Medium,Chat,Checkout,12.57,3.33,no
2025-07-30,Support,High,Phone,Accounts,10.5,3.36,yes
2025-07-31,Infrastructure,Urgent,Portal,Reporting,13.94,3.41,no
2025-08-01,Platform,Low,Email,Billing,7.69,4.01,no
2025-08-02,Payments,Medium,Chat,Checkout,12.56,3.02,no
2025-08-03,Support,High,Phone,Accounts,13.83,2.85,no
2025-08-04,Infrastructure,Urgent,Portal,Reporting,18.97,2.81,no
2025-08-05,Platform,Low,Email,Billing,3.86,3.91,no
2025-08-06,Payments,Medium,Chat,Checkout,8.12,3.98,yes
2025-08-07,Support,High,Phone,Accounts,10.88,3.56,no
2025-08-08,Infrastructure,Urgent,Portal,Reporting,17.8,2.42,yes
2025-08-09,Platform,Low,Email,Billing,11.82,3.79,no
2025-08-10,Payments,Medium,Chat,Checkout,12.91,2.83,no
2025-08-11,Support,High,Phone,Accounts,7.92,3.92,no
2025-08-12,Infrastructure,Urgent,Portal,Reporting,15.09,2.95,no
2025-08-13,Platform,Low,Email,Billing,7.93,3.38,yes
2025-08-14,Payments,Medium,Chat,Checkout,11.59,3.51,no
2025-08-15,Support,High,Phone,Accounts,14.13,3.38,no
2025-08-16,Infrastructure,Urgent,Portal,Reporting,21.69,2.47,no
2025-08-17,Platform,Low,Email,Billing,2.2,4.77,no
2025-08-18,Payments,Medium,Chat,Checkout,8.43,3.57,no
2025-08-19,Support,High,Phone,Accounts,11.86,3.25,no
2025-08-20,Infrastructure,Urgent,Portal,Reporting,16.9,2.72,yes
2025-08-21,Platform,Low,Email,Billing,11.94,3.65,no
2025-08-22,Payments,Medium,Chat,Checkout,12.9,3.67,no
2025-08-23,Support,High,Phone,Accounts,9.13,3.93,no
2025-08-24,Infrastructure,Urgent,Portal,Reporting,14.15,3.08,no
2025-08-25,Platform,Low,Email,Billing,8.0,4.17,no
2025-08-26,Payments,Medium,Chat,Checkout,10.01,3.83,no
2025-08-27,Support,High,Phone,Accounts,15.77,2.96,yes
2025-08-28,Infrastructure,Urgent,Portal,Reporting,20.13,2.74,no
2025-08-29,Platform,Low,Email,Billing,2.76,4.59,no
2025-08-30,Payments,Medium,Chat,Checkout,8.62,3.32,no
2025-08-31,Support,High,Phone,Accounts,13.56,2.96,no
2025-09-01,Infrastructure,Urgent,Portal,Reporting,16.74,2.98,yes
2025-09-02,Platform,Low,Email,Billing,10.17,3.11,no
2025-09-03,Payments,Medium,Chat,Checkout,15.69,2.69,yes
2025-09-04,Support,High,Phone,Accounts,7.55,4.06,no
2025-09-05,Infrastructure,Urgent,Portal,Reporting,12.78,3.61,no
2025-09-06,Platform,Low,Email,Billing,7.88,3.56,no
